Company,Company URL,Positions,Company Email,LinkedIn Contact,Source
http://tirendo.de#,http://www.tirendo.de/,"Frontend Developer, PHP Backend Developer",career@tirendo.com,,Berlin Startup Jobs
Waymate,http://waymate.de/,"Software Engineer, Quality Assurance Engineer, ",hello@waymate.de#,,Berlin Startup Jobs
Hardcore Games,http://www.staradmiral.com/,Game Back-end Server Developer,felix@hardscoregames.com,,Berlin Startup Jobs
Candena,http://www.candena.com/,Head of Engineering,team@candena.com,,Berlin Startup Jobs
SponsorPay,http://sponsorpay.com/,"Business Intelligence/SQL Analyst, Frontend Developer, Senior Ruby On Rails Developer, Junior System Administrator, Ruby on Rails Developer",jobs@sponsorpay.com,,Berlin Startup Jobs
flighright,http://www.flightright.de/,Frontend Wizard,bewerbung@flightright.de,,Berlin Startup Jobs
AppLift,http://www.hitfoxgroup.com/,Senior Ruby Developer,jobs@hitfox.com,,Berlin Startup Jobs
GameGenetics,http://www.gamegenetics.com/,Front-end Developer,jobs@gamegenetics.com,,Berlin Startup Jobs
stylemarks,http://www.stylemarks.de/,Node.js Developer,jobs@stylemarks.de,,Berlin Startup Jobs
Project A Ventures,http://www.project-a.com/,"Quality Assurance Automation Engineer, Ruby Ninja",info@project-a.com,,Berlin Startup Jobs
metaquark,http://metaquark.de/,"Quality Assurance Engineer, Eclipse Frameworks Engineer, Ruby on Rails Engineer, ",info@metaquark.de,http://www.linkedin.com/profile/view?id=12210077&authType=NAME_SEARCH&authToken=Uotm&locale=en_US&srchid=1568024951383439200419&srchindex=1&srchtotal=5&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A1568024951383439200419%2CVSRPtargetId%3A12210077%2CVSRPcmpt%3Aprimary#,Berlin Startup Jobs
vive,http://vive.me/,Senior iOS Engineer,jobs@vive.me,,Berlin Startup Jobs
Asuum,http://asuum.com/,"Front-end Engineer, Software Engineer",jobs@asuum.com,,Berlin Startup Jobs
ZenGuard,https://zenmate.io/,Backend Engineer,jobs@zenmate.io,,Berlin Startup Jobs
