Company,Company URL,Positions,Company Email,LinkedIn Contact,Source
http://tirendo.de#,http://www.tirendo.de/,"Frontend Developer, PHP Backend Developer",career@tirendo.com,,Berlin Startup Jobs
Waymate,http://waymate.de/,"Software Engineer, Quality Assurance Engineer, ",mailto:hello@waymate.de#,,Berlin Startup Jobs
Hardcore Games,http://www.staradmiral.com/,Game Back-end Server Developer,felix@hardscoregames.com,,Berlin Startup Jobs
Candena,http://www.candena.com/,Head of Engineering,team@candena.com,,Berlin Startup Jobs
SponsorPay,http://sponsorpay.com/,"Business Intelligence/SQL Analyst, Frontend Developer, Senior Ruby On Rails Developer, Junior System Administrator, Ruby on Rails Developer",jobs@sponsorpay.com,,Berlin Startup Jobs
flighright,http://www.flightright.de/,Frontend Wizard,bewerbung@flightright.de,,Berlin Startup Jobs
AppLift,http://www.hitfoxgroup.com/,Senior Ruby Developer,jobs@hitfox.com,,Berlin Startup Jobs
GameGenetics,http://www.gamegenetics.com/,Front-end Developer,jobs@gamegenetics.com,,Berlin Startup Jobs
stylemarks,http://www.stylemarks.de/,Node.js Developer,jobs@stylemarks.de,,Berlin Startup Jobs
Project A Ventures,http://www.project-a.com/,"Quality Assurance Automation Engineer, Ruby Ninja",info@project-a.com,,Berlin Startup Jobs
metaquark,http://metaquark.de/,"Quality Assurance Engineer, Eclipse Frameworks Engineer, Ruby on Rails Engineer, ",info@metaquark.de,http://www.linkedin.com/profile/view?id=12210077&authType=NAME_SEARCH&authToken=Uotm&locale=en_US&srchid=1568024951383439200419&srchindex=1&srchtotal=5&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A1568024951383439200419%2CVSRPtargetId%3A12210077%2CVSRPcmpt%3Aprimary#,Berlin Startup Jobs
vive,http://vive.me/,Senior iOS Engineer,jobs@vive.me,,Berlin Startup Jobs
Asuum,http://asuum.com/,"Front-end Engineer, Software Engineer",jobs@asuum.com,,Berlin Startup Jobs
ZenGuard,https://zenmate.io/,Backend Engineer,jobs@zenmate.io,,Berlin Startup Jobs
FontShop International,http://www.fontshop.com/,Ruby on Rails Developer,petra@fontshop.com,,Berlin Startup Jobs
GameDuell,http://www.gameduell.com/,Senior Mobile Developer Android,jobs-bsa@gameduell.de,,Berlin Startup Jobs
TunedIn Media,http://www.tunedin.de/,"Senior System Administrator, Senior PHP Backend Developer, ",jobs@tunedin.de,,Berlin Startup Jobs
Pixformance,http://www.pixformance.com/,"Web Developer, Senior Software Engineer C++/Kinect",jobs@pixformance.com,,Berlin Startup Jobs
Cubitabo,http://www.cubitabo.de/,Frontend Developer,jobs@cubitabo.de,,Berlin Startup Jobs
CulturalMe,https://www.cultural.me/,Lead Software Engineer,recruiting@cultural.me,,Berlin Startup Jobs
Contentful,https://www.contentful.com/,"Ruby on Rails Developer, Javascript Developer",team@contentful.com,,Berlin Startup Jobs
GetYourGuide,http://www.getyourguide.com/,Android Engineer,jobs.berlin@getyourguide.com,,Berlin Startup Jobs
Shoutbox,http://www.shoutboxapp.net/,Android Developer,jobs@shoutboxapp.net,,Berlin Startup Jobs
Timeslot,http://www.timeslot.com/,Frontend Developer,jobs@timeslot.com,,Berlin Startup Jobs
KAYAK,http://www.kayak.com/,"Java Engineer Competitiveness, Frontend Web Developer",berlin-jobs@kayak.com,,Berlin Startup Jobs
SquadMail,https://www.squadmail.com/,"Dev Ops Lead Engineer, Lead Java Engineer",hiring@squad.cc,,Berlin Startup Jobs
PressMatrix,http://pressmatrix.de/,Ruby on Rails Developer,jobs@pressmatrix.de,,Berlin Startup Jobs
Outfittery,http://www.outfittery.de/jobs,Working Student System Administrator,jobs@outfittery.de.,,Berlin Startup Jobs
Amazine,http://www.amazine.com/,Frontend Developer,wewantyou@amazine.com,,Berlin Startup Jobs
Blacklane,https://www.blacklane.com/,iOS Developer,career@blacklane.com,,Berlin Startup Jobs
Trailburning,http://www.trailburning.com/,Backend Developer,jobs@trailburning.com,,Berlin Startup Jobs
viasto,http://www.viasto.com/,Senior Backend Developer,jobs@viasto.com,,Berlin Startup Jobs
Dreamojo,http://www.dreamojo.com/#,"Front-end Developer, Backend Developer",founders@dreamojo.com,,Berlin Startup Jobs
Kisura,http://www.kisura.de/,Lead Developer PHP,doris@purpleorange.com,,Berlin Startup Jobs
Avuba,http://www.avuba.de/,Frontend Engineer,carl@avuba.de,,Berlin Startup Jobs
LesonNine,http://www.babbel.com/,Software Developer,jobs@babbel.com,,Berlin Startup Jobs
